1cb77c1	mbertoli	2016-04-27 09:52:12 -0300	fix merged files
bcb5a45	mbertoli	2016-04-27 09:43:53 -0300	Merge branch 'master' into filters
fc0d639	mbertoli	2016-04-27 09:40:12 -0300	merge with master
f4976b6	Sebastian Dimunzio	2016-04-26 23:39:51 -0300	Merge pull request #45 from devgateway/layers/control_inmutable
e52d95d	sdimunzio	2016-04-26 23:38:17 -0300	SVG renders for shapes + jenks + on /off visibility + zindex
f593990	mbertoli	2016-04-26 18:29:31 -0300	basemaps
982bb30	Daniel Oliva Bianco	2016-04-26 15:46:22 -0300	Add endpoints to the backend
ada9528	Daniel Oliva Bianco	2016-04-26 13:52:58 -0300	GEOPH-147 Do not show cluster with 0 project location in the map (Back End)
2e5de0a	Daniel Oliva	2016-04-26 12:31:28 -0300	Merge pull request #44 from devgateway/saveAndShare
88a3ae6	Daniel Oliva Bianco	2016-04-26 11:54:59 -0300	Merge branch 'master' into saveAndShare
f067981	Daniel Oliva Bianco	2016-04-26 11:01:57 -0300	GEOPH-162 Return list of available layers GEOPH-163 Create an Endpoint to return a layer by id
8a87b23	sdimunzio	2016-04-25 22:36:03 -0300	Merge remote-tracking branch 'origin/master' into layers/control_inmutable
ecb4ff1	sdimunzio	2016-04-25 22:35:32 -0300	adding Jenks support and measure support to svg layer
9847b02	sdimunzio	2016-04-25 16:33:32 -0300	jenks
1b7401b	Daniel Oliva Bianco	2016-04-25 12:40:07 -0300	GEOPH-152 Sectors Tab Section Filter - Relevance to Climate (Back End) GEOPH-153 Sectors Tab Section Filter - Gender (Back End)
c89be20	Daniel Oliva Bianco	2016-04-22 18:14:02 -0300	GEOPH-154 - Funding Tab - Funding Type sub tab (Back End)
fe56b92	Daniel Oliva Bianco	2016-04-22 12:03:27 -0300	Add ClimateChange and GenderResponsiveness to projects
52d8d6a	mbertoli	2016-04-21 16:23:05 -0300	change filter dates names and fix validation problem.
55ce299	Daniel Oliva Bianco	2016-04-21 12:51:22 -0300	Fix to hold double value in geojson endpoint Sample: http://localhost:8090/geodata/stats/region/funding/detail/0.025
4334918	mbertoli	2016-04-21 12:40:12 -0300	apply funding type selection to charts
bcf4adc	Daniel Oliva Bianco	2016-04-21 10:23:10 -0300	First version for save and share
6d802ec	mbertoli	2016-04-20 18:10:03 -0300	Merge branch 'master' into filters
7b5350e	mbertoli	2016-04-20 18:07:51 -0300	apply filters to layers
758354a	Daniel Oliva Bianco	2016-04-20 18:06:13 -0300	add controller for save maps
cb8ed36	mbertoli	2016-04-20 18:05:20 -0300	Merge pull request #43 from devgateway/commitments
b695a50	Daniel Oliva Bianco	2016-04-20 11:40:52 -0300	Add chart endpoint that groups other charts because @mbertoli is lazy and dont want to make 4 different calls to the backend :peron:
ae5b2b7	mbertoli	2016-04-20 11:11:04 -0300	Merge branch 'layers/control_inmutable' into filters
330d75b	mbertoli	2016-04-20 08:07:23 -0300	Merge branch 'master' into filters
c690fc6	mbertoli	2016-04-20 08:06:06 -0300	Settings selector and basemap partial
1e2b90f	Daniel Oliva Bianco	2016-04-19 18:26:24 -0300	Add fix for charts endpoints related to commitment, disbursements and expenditures
761c74a	Daniel Oliva Bianco	2016-04-19 11:57:14 -0300	Add data to the DB, fix project endpoint pagination
